time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-02-14 10:08:14.403 UTC, ,125,3185029,5208,39040,136, ,4, ,178,3,0.02, , , , , , , ,4,4, ,2, ,2,1,6, ,154,25, , , , , , , , , , , , , ,2308594,2, ,2049264, , , , , , ,-1,-1, , , , , ,272,4290, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1644833294251, , , , ,3145728,4294967588, , ,32,7,1,11,1,6,1, , ,3,2, , , ,32, ,11434,10,128,2, , ,6970628,778,182,1, , , , , , ,29,117,85449672,-1, , , , , , ,152, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2022-02-14 10:09:14.409 UTC, ,589,3268717,5880,121616,784, ,10, ,3118,5,0.00, , , , , , , ,10,10, , , ,2,1,13, ,3545,109, , , , , , , , , , , , , ,2308594,2, ,2049264, , , , ,2312736,184979263488,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2312736, ,1644833294251, , , , ,3145728,4294971356, , ,120,38,4,83,4,2,4, , ,3,6, , , ,120,1,14484,12,2095,1, ,2,69849,112,1687,4, , , , , , ,60,131,131036984,-1, , , , , , ,3553, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, ,438,3037,15,1, , , , , , 
2022-02-14 10:10:07.278 UTC, ,589,3267933,5880,121616, , ,10, ,251, , , , , , , , , ,10,10, , , ,2,1,13, ,308, , , , , , , , , , , , , , ,2308594,2, ,2049264, , , , ,2312736,184978673664,74,74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2312736, ,1644833294251, , , , ,3145728,4294971356, , , ,35, ,52, , , , , ,3,2, , , , ,1, , , , , , , , , , , , , , , , ,9,20,272653592,-1, , , , , , ,313, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,65,243,2, , , , , , , 
2022-02-14 10:10:47.195 UTC, ,250,3167650,2608,21536,136, ,4,2,51,4,0.08, , , , , , ,1,4,4, ,3,1,4,1,6, ,42,15, , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , , , ,-1,-1, , , , , ,1,48, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1644833447144, , , , ,3145728,4294974853, , ,26,0, , , ,4, , , ,3, , , , ,26,1,8413,8, , , , ,105516,32, , , , , , , , ,23,99,136350160,-1, , , , , , ,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:11:47.208 UTC, ,250,3190314,2968,44000,336, ,6,1,81,2,0.02, , , , , , , ,6,6, , ,2,4,1,7, ,79,30, , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184978391040,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , ,36,0, , , ,1, , , ,3, , , , ,36,2,8062,7, , , , ,16609,30, , , , , , , , ,11,54,77814320,-1, , , , , , ,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,75,2, , , , , , , 
2022-02-14 10:12:47.214 UTC, ,250,3464250,3432,317600,672, ,16,5,1423,10,0.01, , , , , , , ,16,9, , ,5,4,1,10, ,2201,694, , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184981151744,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , ,712,0, , , , , , , ,3, , , , ,712,2,25203,20, , , ,9,309744,701, , , , , , , , ,30,76,95383616,-1, , , , , , ,2216, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,811,1384,3, , , , , , , 
2022-02-14 10:13:47.224 UTC, ,250,3464250,3432,317600,672, ,16, ,1143, , , , , , , , , ,16,9, , , ,4,1,10, ,1248, , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184980938752,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , ,5,10,136286976,-1, , , , , , ,1254, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,114,1134,1, , , , , , , 
2022-02-14 10:14:47.240 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184980619264,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,138384128,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:15:47.250 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184975912960,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,140481280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:16:47.265 UTC, ,250,3464250,3432,317600,672, ,16, , , , , , , , , , , ,16,9, , , ,4,1,10, , , , , , , , , , , , , , , , ,4294974853,3, ,4294971491, , , , ,2316257,184974794752,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2316257, ,1644833447144, , , , ,3145728,4294974853, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,142578432,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
